Id,Designator,Package,Quantity,Designation,Supplier and ref,CMD,EN STOCK,,
14,SW1,OS102011MS2QN1,1,SW_0007,,ok,,,
15,K1,71252-050_0800,1,MIC1,,ok,,,
16,K2,71252-050_0800,1,MIC2,,ok,,,
17,"R7,R6",R_0402,2,R_0105,,,,,
18,"R5,R4,R3,R2",R_0402,4,R_,ERA2AEB6811X,ok,,,
19,R1,R_0402,1,R_0023,,,,,
20,D1,LED_D3.0mm,1,LED,HLMP-1700 ,ok,,,
21,"C1,C18,C15,C12,C9",C_2820,5,C_0074,ECHU1104JC9,ok,,,
41,"D12,D8,D6,D5,D4,D3,D2,D1,D11,D10,D9,D7",D_SOD-523,12,D_0022,,,ok,,
42,"RV1,RV2",Potentiometer_Mono_Vertical,2,10k,,,,,
43,RV3,Potentiometer_Stereo_Vertical,1,10k,,,,,
44,"R31,R30",R_0402,2,R_0165,ERJ2RKF2202X,ok,,,
45,"R29,R28,R27,R26",R_0402,4,R_0164,ERJ2RKF3301X,ok,,,
46,"R25,R32,R5,R14,R12,R10,R8,R1",R_0402,8,R_0002,,,,,
47,"R23,R17,R24,R18,R21",R_0402,5,R_0020,,,,,
48,"R22,R21",R_0402,2,R_0161,ERJ2GEJ5R6X,ok,,,
49,"R20,R19",R_0402,2,R_0005,,,,,
50,"R3,R2,R1,R16,R15,R22,R20",R_0402,7,R_0034,,,,,
51,"Q3,Q1",SOT_23,2,Q_0020,FDN361BN,ok,,,
52,"C48,C46,C42,C44,C54,C52,C14,C8",CP_Radial_D8.0mm_P3.50mm,8,C_0078,RFS-16V470MG3#5,ok,,,
53,"C47,C45,C41,C43,C53,C51,C13,C7",C_0805,8,C_0075,ECPU1C104MA5,ok,,,
54,"C40,C36,C39,C35",C_0805,4,C_0005,,,,,
55,"C38,C34,C33,C30,C29,C6,C5,C1,C56,C50,C49,C37,C32,C31,C28,C27,C46,C13,C12,C11,C4",C_0402,21,C_0002,,,,,
56,"C3,C2",CP_Radial_D10.0mm_P5.00mm,2,C_0077,‎EEU-FR1C102B‎ ,ok,,,
57,Q4,SOT_23,1,Q_0021,MMBFJ176,ok,,,
58,"U3,U4",SOIC-14_3.9x8.7mm_P1.27mm,2,U_0127,INA163,ok,,,
59,"C24,C21,C23,C20,C22,C19",R_0402,6,C_0073,,,,,
60,"R14,R12,R13,R11",R_0402,4,R_0163,ERJ2RKF2201X,ok,,,
61,"U2,U1,U5",SOIC_8,3,U_0128,OPA2134UAE4,ok,,,
62,"L6,L5,L4,L3,L2,L1",LairdTech_28C0236-0JW-10,6,L_,28C0236-0JW-10,ok,,,
63,"C17,C16,C11,C10",CP_Radial_D12.5mm_P5.00mm,4,C_0072,RFS-100V470MI6#5,ok,,,
64,Q2,SOT_23,1,Q_0019,FDN358P,ok,,,
65,"D4,D6,D5,D3,D2,D1",D_SMA,6,D_0026,,,ok,,
66,RV1,Potentiometer_Piher_PT-10-V10_Vertical_Hole,1,25K,PT10LV10-253A2020-PM-S ,ok,,,
67,L7,L_7050-Wurth,1,L_0015,74437349470,ok,,,
68,K1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,BATT,B2P-VH(LF)(SN)‎ ,ok,,‎SVH-41T-P1.1‎ ,‎VHR-2N‎ 
74,U5,MSOP_12-1EP_3x4_P0.65,1,U_0089,LT3652EMSE#PBF,,ok,,
75,U4,SOIC_8,1,U_0126,XL6007E1,ok,,,
76,"U3,U2,U1",MSOP_16-1EP_3x4_P0.5,3,U_0064,LT8610ABHMSE,,ok,,
77,R19,R_0402,1,R_0157,ERJ2RKF2803X ,ok,,,
78,R18,R_1206,1,R_0099,ERJ8CWFR050V,ok,,,
79,R17,R_0402,1,R_0128,,,,,
80,R16,R_0402,1,R_0112,,,,,
81,R15,R_0402,1,R_0008,,,,,
82,R13,R_0402,1,R_0158,ERJ2RKF1473X,ok,,,
83,"R11,R9",R_0402,2,R_0155,ERJ2RKF2493X,ok,,,
84,R7,R_0402,1,R_0118,,,,,
85,R6,R_0402,1,R_0154,ERA2AEB563X,ok,,,
86,"R5,R4,R3",R_0402,3,R_0156,‎ERJ-2RKF5232X‎ ,ok,,,
87,R2,R_0402,1,R_0159,ERJ-2RKF1183X‎ ,ok,,,
88,"L12,L10,L9,L8,L6,L5,L4",L_2020-Vishay,7,L_0004,IHLP2020BZER4R7M01,,ok,,
89,"L11,L3,L2,L1",L_0805,4,L_0001,MPZ2012S101A,ok,,,
98,C45,CP_EIA-7343-31,1,C_0058,T495X107K020ATE100,ok,,,
99,C44,C_0603,1,C_0003,,,,,
100,C43,C_0805,1,C_0056,,,,,
101,C42,C_1206,1,C_0041,,,,,
102,C41,C_0603,1,C_0057,,,,,
103,"C40,C17,C16,C15",C_0603,4,C_0037,,,,,
104,"C39,C38,C37,C36,C35,C34,C33,C32,C31,C29,C28,C27",C_1210,12,C_0040,,,,,
105,"C30,C23,C19",C_2220,3,C_0071,22201C106K4T2A,ok,,,
106,"C26,C25,C24",C_0402,3,C_0039,,,,,
107,"C22,C21,C20",C_0603,3,C_0012,,,,,
108,"C18,C10,C9,C8",C_0805,4,C_0032,,,,,
109,"C14,C7,C6,C5,C3,C2,C1",C_1206,7,C_0038,,,,,
110,Jx,,27,J_0001,13.13.755 ETTINGER,ok,,,
111,Balanced coaxial cable AWG26,,,,55A1121-26-6/9-9 ,ok,,,
112,RED AWG26,,,,44A0111-26-2-US,ok,,,
113,WHITE AWG26,,,,‎55A0111-26-9‎ ,ok,,,
114,BLACK,,,,‎44A0111-26-0-US‎ ,ok,,,
